sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,no_mid_measure_final_sample,4,1,False,False,False,2,10,,"0,0,0,0","X,Z","2,10",[],all_cnot_round_patterns,Z,1,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",4
1,no_mid_measure_final_sample,4,1,False,False,False,2,10,0,"1,0,0,0","X,Z","2,10","[{""round"": 0, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,01000000,,"{""final_bits"": [[0, 1, 0, 0, 0, 0, 0, 0]]}",4
2,no_mid_measure_final_sample,4,1,False,False,False,2,10,1,"0,1,0,0","X,Z","2,10","[{""round"": 1, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,00000100,,"{""final_bits"": [[0, 0, 0, 0, 0, 1, 0, 0]]}",4
3,no_mid_measure_final_sample,4,1,False,False,False,2,10,2,"0,0,1,0","X,Z","2,10","[{""round"": 2, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,01000000,,"{""final_bits"": [[0, 1, 0, 0, 0, 0, 0, 0]]}",4
4,no_mid_measure_final_sample,4,1,False,False,False,2,10,3,"0,0,0,1","X,Z","2,10","[{""round"": 3, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,00000100,,"{""final_bits"": [[0, 0, 0, 0, 0, 1, 0, 0]]}",4
5,no_mid_measure_final_sample,4,1,False,False,False,2,10,"0,1","1,1,0,0","X,Z","2,10","[{""round"": 0, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,01000100,,"{""final_bits"": [[0, 1, 0, 0, 0, 1, 0, 0]]}",4
6,no_mid_measure_final_sample,4,1,False,False,False,2,10,"0,2","1,0,1,0","X,Z","2,10","[{""round"": 0, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",4
7,no_mid_measure_final_sample,4,1,False,False,False,2,10,"0,3","1,0,0,1","X,Z","2,10","[{""round"": 0, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,01000100,,"{""final_bits"": [[0, 1, 0, 0, 0, 1, 0, 0]]}",4
8,no_mid_measure_final_sample,4,1,False,False,False,2,10,"1,2","0,1,1,0","X,Z","2,10","[{""round"": 1, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,01000100,,"{""final_bits"": [[0, 1, 0, 0, 0, 1, 0, 0]]}",4
9,no_mid_measure_final_sample,4,1,False,False,False,2,10,"1,3","0,1,0,1","X,Z","2,10","[{""round"": 1, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 2, ""target"": 10, ""error_wires"": [2, 10], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,1,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",4
