sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,no_mid_measure_final_sample,4,1,False,False,False,16,8,,"0,0,0,0","X,Z","16,8",[],all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
1,no_mid_measure_final_sample,4,1,False,False,False,16,8,0,"1,0,0,0","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
2,no_mid_measure_final_sample,4,1,False,False,False,16,8,1,"0,1,0,0","X,Z","16,8","[{""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
3,no_mid_measure_final_sample,4,1,False,False,False,16,8,2,"0,0,1,0","X,Z","16,8","[{""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
4,no_mid_measure_final_sample,4,1,False,False,False,16,8,3,"0,0,0,1","X,Z","16,8","[{""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
5,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,1","1,1,0,0","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
6,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,2","1,0,1,0","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
7,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,3","1,0,0,1","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
8,no_mid_measure_final_sample,4,1,False,False,False,16,8,"1,2","0,1,1,0","X,Z","16,8","[{""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
9,no_mid_measure_final_sample,4,1,False,False,False,16,8,"1,3","0,1,0,1","X,Z","16,8","[{""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
10,no_mid_measure_final_sample,4,1,False,False,False,16,8,"2,3","0,0,1,1","X,Z","16,8","[{""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
11,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,1,2","1,1,1,0","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
12,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,1,3","1,1,0,1","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
13,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,2,3","1,0,1,1","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
14,no_mid_measure_final_sample,4,1,False,False,False,16,8,"1,2,3","0,1,1,1","X,Z","16,8","[{""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000001,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 1]]}",23
15,no_mid_measure_final_sample,4,1,False,False,False,16,8,"0,1,2,3","1,1,1,1","X,Z","16,8","[{""round"": 0, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 16, ""target"": 8, ""error_wires"": [16, 8], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,3,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",23
